Wn(um),Wp(um),Vm(V)
2.4,0.56,0.630289994
2.44,0.56,0.629192102
2.48,0.56,0.628102269
2.52,0.56,0.627061624
2.56,0.56,0.626063856
2.6,0.56,0.625117302
2.64,0.56,0.624183888
2.68,0.56,0.623279761
2.72,0.56,0.622400504
2.76,0.56,0.621542108
2.8,0.56,0.62070086
2.84,0.56,0.619853184
2.88,0.56,0.618923789
2.92,0.56,0.618032306
2.96,0.56,0.617174618
3,0.56,0.616347034
3.04,0.56,0.615546233
3.08,0.56,0.614781832
3.12,0.56,0.614021714
3.16,0.56,0.61328119
3.2,0.56,0.612557786
3.24,0.56,0.611849202
3.28,0.56,0.61115332
3.32,0.56,0.610468149
3.36,0.56,0.609758949
3.4,0.56,0.608997524
3.44,0.56,0.608262347
3.48,0.56,0.607550997
3.52,0.56,0.606861281
3.56,0.56,0.606191189
3.6,0.56,0.605538896
3.64,0.56,0.604902725
3.68,0.56,0.604291545
3.72,0.56,0.603680056
3.76,0.56,0.60308107
3.8,0.56,0.602493254
3.84,0.56,0.601915351
3.88,0.56,0.601346201
3.92,0.56,0.600784702
3.96,0.56,0.600229808
4,0.56,0.599630741
0.2,0.6,0.806072687
0.24,0.6,0.796874096
0.28,0.6,0.787967194
0.32,0.6,0.779617433
0.36,0.6,0.771683474
0.4,0.6,0.764252184
0.44,0.6,0.757409858
0.48,0.6,0.751152002
0.52,0.6,0.745063308
0.56,0.6,0.739672772
0.6,0.6,0.734304424
0.64,0.6,0.729563207
0.68,0.6,0.72479664
0.72,0.6,0.720623929
0.76,0.6,0.716343122
0.8,0.6,0.712505272
0.84,0.6,0.708860664
0.88,0.6,0.705232726
0.92,0.6,0.701970222
0.96,0.6,0.698804156
1,0.6,0.695641145
1.04,0.6,0.692775326
1.08,0.6,0.690094678
1.12,0.6,0.687273411
1.16,0.6,0.684668429
1.2,0.6,0.682259083
1.24,0.6,0.679971623
1.28,0.6,0.677542647
1.32,0.6,0.675280268
1.36,0.6,0.673178382
1.4,0.6,0.671189901
1.44,0.6,0.669173123
1.48,0.6,0.667155789
1.52,0.6,0.665247972
1.56,0.6,0.66345825
1.6,0.6,0.661756622
1.64,0.6,0.66011657
